location_name,city,country,location_type,day_id,address,description
Sainte-Chapelle,Paris,France,church,paris_sacred_churches,"8 Boulevard du Palais, 75001 Paris","Gothic chapel famous for its stunning stained glass windows"
Notre-Dame Cathedral,Paris,France,cathedral,paris_sacred_churches,"6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris","Iconic Gothic cathedral and symbol of Paris"
Saint-Sulpice Church,Paris,France,church,paris_sacred_churches,"2 Rue Palatine, 75006 Paris","Large church with impressive organ and unique architecture"
Shakespeare and Company,Paris,France,bookstore,paris_left_bank_literary,"37 Rue de la Bûcherie, 75005 Paris","Famous English-language bookstore on the Left Bank"
Panthéon,Paris,France,monument,paris_left_bank_literary,"Place du Panthéon, 75005 Paris","Neoclassical mausoleum containing remains of distinguished French citizens"
Luxembourg Gardens,Paris,France,park,paris_left_bank_literary,"75006 Paris","Beautiful gardens perfect for strolling and relaxation"
Musée d'Orsay,Paris,France,museum,paris_impressionist_deep,"1 Rue de la Légion d'Honneur, 75007 Paris","World's finest collection of Impressionist paintings"
Musée de l'Orangerie,Paris,France,museum,paris_impressionist_deep,"Jardin Tuileries, 75001 Paris","Home to Monet's spectacular Water Lilies series"
Palace of Versailles,Paris,France,palace,paris_versailles_royal,"Place d'Armes, 78000 Versailles","Opulent royal palace with magnificent gardens"
Hall of Mirrors,Paris,France,palace_room,paris_versailles_royal,"Palace of Versailles, 78000 Versailles","Most famous room in Versailles with 357 mirrors"
Musée Rodin,Paris,France,museum,paris_hidden_museums,"77 Rue de Varenne, 75007 Paris","Museum dedicated to sculptor Auguste Rodin with beautiful gardens"
Musée Picasso,Paris,France,museum,paris_hidden_museums,"5 Rue de Thorigny, 75003 Paris","Extensive collection of Picasso works in historic Marais mansion"
Sacré-Cœur Basilica,Paris,France,basilica,paris_bohemian_montmartre,"35 Rue du Chevalier de la Barre, 75018 Paris","White basilica atop Montmartre hill with panoramic views"
Place du Tertre,Paris,France,square,paris_bohemian_montmartre,"Place du Tertre, 75018 Paris","Historic square where artists paint portraits and sell artwork"
Moulin Rouge,Paris,France,cabaret,paris_bohemian_montmartre,"82 Boulevard de Clichy, 75018 Paris","Famous cabaret known for its can-can shows"
Place des Vosges,Paris,France,square,paris_trendy_marais,"Place des Vosges, 75004 Paris","Oldest planned square in Paris with elegant architecture"
L'As du Fallafel,Paris,France,restaurant,paris_trendy_marais,"34 Rue des Rosiers, 75004 Paris","Famous falafel restaurant in the Jewish quarter"
Café de Flore,Paris,France,cafe,paris_chic_saint_germain,"172 Boulevard Saint-Germain, 75006 Paris","Historic café frequented by famous writers and philosophers"
Les Deux Magots,Paris,France,cafe,paris_chic_saint_germain,"6 Place Saint-Germain des Prés, 75006 Paris","Legendary café and literary meeting place"
Belleville Street Art,Paris,France,neighborhood,paris_alternative_belleville,"Rue Denoyez, 75020 Paris","Vibrant street art scene in multicultural Belleville"
Canal Saint-Martin,Paris,France,canal,paris_alternative_belleville,"Canal Saint-Martin, 75010 Paris","Scenic canal with locks, bridges, and trendy cafés"
Eiffel Tower,Paris,France,monument,paris_night_experience,"Champ de Mars, 5 Avenue Anatole France, 75007 Paris","Iconic iron tower illuminated with thousands of lights at night"
Seine River Cruise,Paris,France,activity,paris_night_experience,"Port de la Bourdonnais, 75007 Paris","Romantic evening cruise along the Seine River"
Marché des Enfants Rouges,Paris,France,market,paris_culinary_tour,"39 Rue de Bretagne, 75003 Paris","Oldest covered market in Paris with diverse food stalls"
Paris Catacombs,Paris,France,underground,paris_underground_mystery,"1 Avenue du Colonel Henri Rol-Tanguy, 75014 Paris","Underground ossuary holding remains of over 6 million people"
Disneyland Paris,Paris,France,theme_park,paris_family_fun,"77777 Marne-la-Vallée","Magical Disney theme park with rides and attractions"
Tuileries Garden,Paris,France,park,paris_parks_gardens,"113 Rue de Rivoli, 75001 Paris","Historic formal garden between Louvre and Place de la Concorde"
Père Lachaise Cemetery,Paris,France,cemetery,paris_parks_gardens,"16 Rue du Repos, 75020 Paris","Famous cemetery with graves of notable figures"
Champs-Élysées,Paris,France,avenue,paris_fashion_shopping,"Av. des Champs-Élysées, 75008 Paris","Famous avenue for luxury shopping and cafés"
Galeries Lafayette,Paris,France,department_store,paris_fashion_shopping,"40 Boulevard Haussmann, 75009 Paris","Historic department store with stunning glass dome"
Château de Fontainebleau,Paris,France,castle,paris_fontainebleau_trip,"77300 Fontainebleau","Historic royal castle with beautiful Renaissance architecture"
Tower of London,London,United Kingdom,castle,london_tower_deep_dive,"St Katharine's & Wapping, London EC3N 4AB","Historic fortress housing the Crown Jewels"
Tower Bridge,London,United Kingdom,bridge,london_tower_deep_dive,"Tower Bridge Rd, London SE1 2UP","Iconic Victorian bridge with glass floor walkways"
Crown Jewels,London,United Kingdom,exhibition,london_tower_deep_dive,"Tower of London, London EC3N 4AB","Display of British Crown Jewels and royal regalia"
Houses of Parliament,London,United Kingdom,government,london_westminster_political,"Westminster, London SW1A 0AA","Home of UK government with iconic Big Ben tower"
Westminster Abbey,London,United Kingdom,abbey,london_westminster_political,"20 Deans Yd, Westminster, London SW1P 3PA","Historic abbey where monarchs are crowned"
Churchill War Rooms,London,United Kingdom,museum,london_westminster_political,"Clive Steps, King Charles St, London SW1A 2AQ","Underground wartime bunkers of Winston Churchill"
